Date,Host,Service,@ably_sno,ably_market_sno,consumer_origin,@price_origin,@consumer_price_adjustment.discount_type,@consumer_price_adjustment.discount_rate,@consumer_price_adjustment.discount_price,@consumer_price_adjustment.started_at,@consumer_price_adjustment.ended_at,Message
"2025-01-13T05:18:59.369Z","ip-172-31-202-206.ap-northeast-2.compute.internal-ably-prod","seller-api","27918778","10910","62500","44900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:18:57.537Z","ip-172-31-247-108.ap-northeast-2.compute.internal-ably-prod","seller-api","27918769","10910","62500","44900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:18:55.594Z","ip-172-31-236-92.ap-northeast-2.compute.internal-ably-prod","seller-api","27918761","10910","62500","44900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:18:53.278Z","ip-172-31-231-180.ap-northeast-2.compute.internal-ably-prod","seller-api","27918754","10910","62500","44900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:18:50.535Z","ip-172-31-247-108.ap-northeast-2.compute.internal-ably-prod","seller-api","27918744","10910","62500","44900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:18:48.585Z","ip-172-31-255-142.ap-northeast-2.compute.internal-ably-prod","seller-api","27918729","10910","58000","41900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:18:41.321Z","ip-172-31-253-104.ap-northeast-2.compute.internal-ably-prod","seller-api","27918723","10910","58000","41900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:18:33.872Z","ip-172-31-235-11.ap-northeast-2.compute.internal-ably-prod","seller-api","27918716","10910","58000","41900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:18:30.361Z","ip-172-31-202-206.ap-northeast-2.compute.internal-ably-prod","seller-api","17145237","9172",,,,,,,,"update_seller_goods"
"2025-01-13T05:18:21.314Z","ip-172-31-253-104.ap-northeast-2.compute.internal-ably-prod","seller-api","27918672","10910","51000","36900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:18:14.271Z","ip-172-31-231-180.ap-northeast-2.compute.internal-ably-prod","seller-api","27918664","10910","51000","36900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:18:13.358Z","ip-172-31-202-206.ap-northeast-2.compute.internal-ably-prod","seller-api","27918636","10910","53000","38900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:18:11.270Z","ip-172-31-231-180.ap-northeast-2.compute.internal-ably-prod","seller-api","27918623","10910","56000","41900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:18:09.270Z","ip-172-31-231-180.ap-northeast-2.compute.internal-ably-prod","seller-api","27918615","10910","56000","41900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:18:06.853Z","ip-172-31-235-11.ap-northeast-2.compute.internal-ably-prod","seller-api","27918604","10910","56000","41900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:18:03.853Z","ip-172-31-235-11.ap-northeast-2.compute.internal-ably-prod","seller-api","32242059","14557",,,,,,,,"update_seller_goods"
"2025-01-13T05:18:01.188Z","ip-172-31-225-245.ap-northeast-2.compute.internal-ably-prod","seller-api","14374769","10910","59000","42900",,,,,,"vendor_seller_update_goods"
"2025-01-13T05:17:44.171Z","ip-172-31-235-177.ap-northeast-2.compute.internal-ably-prod","seller-api","17145237","9172",,,,,,,,"update_seller_goods"
"2025-01-13T05:17:17.822Z","ip-172-31-235-11.ap-northeast-2.compute.internal-ably-prod","seller-api","17145237","9172",,,,,,,,"update_seller_goods"
"2025-01-13T05:16:58.342Z","ip-172-31-202-206.ap-northeast-2.compute.internal-ably-prod","seller-api","14374824","10910",,,,,,,,"update_seller_goods"
"2025-01-13T05:16:48.539Z","ip-172-31-255-142.ap-northeast-2.compute.internal-ably-prod","seller-api","14374824","10910",,,,,,,,"update_seller_goods"
"2025-01-13T05:16:31.628Z","ip-172-31-201-187.ap-northeast-2.compute.internal-ably-prod","seller-api","21895764","11487",,,,,,,,"update_seller_goods"
"2025-01-13T05:16:20.409Z","ip-172-31-204-62.ap-northeast-2.compute.internal-ably-prod","seller-api","21895764","11487",,,,,,,,"update_seller_goods"
"2025-01-13T05:16:15.545Z","ip-172-31-253-104.ap-northeast-2.compute.internal-ably-prod","seller-api","32242059","14557",,,,,,,,"update_seller_goods"
"2025-01-13T05:16:07.341Z","ip-172-31-225-245.ap-northeast-2.compute.internal-ably-prod","seller-api","14374824","10910",,,,,,,,"update_seller_goods"
